Date,"Flu","Sinusitis","Fatigue","Feeling cold","Bronchitis","Pneumonia","Headache","Congestion","Chest pain","Soar throat"
2021-02-20,58,1492,434,1,1368,5343,555,47,695,0
2021-02-21,58,1520,428,0,1439,5135,561,65,627,1
2021-02-22,75,1621,532,0,1469,5855,629,78,799,0
2021-02-23,67,1741,496,1,1480,5528,587,68,795,0
2021-02-24,87,1679,719,0,1594,5487,609,77,663,0
2021-02-25,68,1622,524,0,1537,5414,595,77,702,0
2021-02-26,52,1573,473,0,1352,5357,626,82,673,0
2021-02-27,48,1342,451,0,1169,6035,570,58,715,1
2021-02-28,49,1553,496,0,1141,5791,558,81,740,0
2021-03-01,67,1735,573,0,1476,5695,566,88,716,1
2021-03-02,79,1717,509,0,1541,5488,641,93,780,0
2021-03-03,59,1692,591,0,1494,5448,590,96,691,0
2021-03-04,92,1801,602,0,1486,5264,547,65,635,0
2021-03-05,63,1657,425,0,1331,4840,565,82,693,1
2021-03-06,50,1438,377,0,1176,4841,466,54,597,0
2021-03-07,55,1528,472,1,1130,4978,584,61,573,0
2021-03-08,56,1695,487,0,1370,5069,565,77,753,0
2021-03-09,76,1685,480,0,1489,5346,595,72,759,0
2021-03-10,65,1790,517,0,1434,5225,577,84,698,0
2021-03-11,64,1765,490,0,1386,5219,634,86,689,0
2021-03-12,55,1493,475,0,1318,5089,595,58,728,0
2021-03-13,59,1492,456,1,1236,5014,509,45,659,0
2021-03-14,65,1574,448,0,1210,5187,510,39,680,0
2021-03-15,76,1700,506,0,1409,5610,632,72,704,0
2021-03-16,79,1770,590,0,1480,5455,614,82,682,0
2021-03-17,67,1709,514,1,1585,5329,597,73,701,1
2021-03-18,61,1805,545,0,1438,5522,618,68,655,0
2021-03-19,69,1606,473,0,1405,5805,593,54,643,0
2021-03-20,63,1604,442,0,1279,5666,513,34,624,1
2021-03-21,54,1587,448,0,1236,5479,576,53,636,0
2021-03-22,80,1763,543,0,1518,5820,639,47,740,0
2021-03-23,86,1890,592,0,1553,5738,645,60,665,0
2021-03-24,79,1753,565,0,1606,5602,561,50,692,0
2021-03-25,70,1655,539,1,1608,5617,672,52,625,0
2021-03-26,68,1480,438,0,1475,5265,566,54,686,0
2021-03-27,61,1308,398,0,1279,5262,536,42,621,2
2021-03-28,62,1294,459,0,1261,5158,570,54,602,1
2021-03-29,68,1381,469,0,1424,5547,523,43,625,0
2021-03-30,72,1364,479,0,1540,5312,561,60,677,0
2021-03-31,76,1369,494,0,1607,5397,514,62,680,1
2021-04-01,60,1281,456,0,1540,5183,510,49,635,1
2021-04-02,54,1364,436,0,1419,5339,499,51,605,0
2021-04-03,62,1231,393,0,1259,5270,470,38,482,0
2021-04-04,54,1297,403,0,1182,5494,508,50,473,0
2021-04-05,79,1492,510,0,1638,5508,548,39,594,0
2021-04-06,65,1577,512,0,1785,5679,614,56,510,0
2021-04-07,77,1608,567,0,1731,7333,587,64,594,0
2021-04-08,65,1540,508,0,1648,5659,595,60,564,0
2021-04-09,70,1387,433,0,1627,5510,552,47,557,1
2021-04-10,56,1345,433,0,1477,5242,539,48,507,0
2021-04-11,70,1338,443,0,1483,5571,636,44,546,0
2021-04-12,53,1536,474,0,1759,5998,534,53,602,2
2021-04-13,67,2790,501,0,1748,5765,631,59,558,0
2021-04-14,53,2087,447,0,1655,5811,614,50,581,0
2021-04-15,71,1748,431,0,1661,5668,557,58,586,0
2021-04-16,65,1331,476,0,1610,5504,569,42,549,1
2021-04-17,76,1192,402,0,1306,5526,487,26,540,0
2021-04-18,67,1306,392,0,1315,5950,524,27,532,0
2021-04-19,93,1585,512,0,1630,5867,624,29,619,1
2021-04-20,59,1552,464,0,1698,6036,605,39,605,0
2021-04-21,78,1485,509,0,1855,6109,530,40,588,2
2021-04-22,63,1568,461,0,1820,6162,513,45,605,1
2021-04-23,55,1323,429,0,1645,6012,520,47,570,0
2021-04-24,53,1231,420,0,1444,6227,509,20,531,0
2021-04-25,52,1220,385,2,1397,6444,545,40,593,0
2021-04-26,56,1377,481,0,1633,6641,579,51,632,0
2021-04-27,64,1412,492,0,1849,6296,557,48,566,0
2021-04-28,66,1390,462,0,1953,6220,625,46,574,1
2021-04-29,74,1408,480,0,1786,6170,553,48,561,0
2021-04-30,65,1278,456,0,1470,5725,550,45,479,0
2021-05-01,45,1108,375,0,1496,5842,485,25,520,0
2021-05-02,56,1173,338,1,1414,6103,520,26,516,0
2021-05-03,60,1424,444,0,1542,6159,587,37,556,0
2021-05-04,54,1357,427,0,1738,5934,584,45,574,0
2021-05-05,72,1415,492,0,1870,5795,610,46,667,0
2021-05-06,64,1387,463,0,1937,5861,517,41,546,1
2021-05-07,53,1347,398,0,1874,5501,542,32,570,0
2021-05-08,44,1148,389,0,1573,5385,494,35,509,0
2021-05-09,62,1313,382,0,1443,5288,496,29,509,0
2021-05-10,61,1513,468,0,1846,5671,595,28,524,0
2021-05-11,52,1522,456,1,1836,5444,544,34,559,0
2021-05-12,57,1417,505,0,1973,5323,464,39,565,2
2021-05-13,60,1380,420,0,1842,5379,562,43,469,0
2021-05-14,60,1253,407,0,1695,5133,584,28,512,0
2021-05-15,41,1144,419,1,1629,5014,522,21,505,0
2021-05-16,38,1330,360,1,1686,5017,515,28,483,0
2021-05-17,52,1503,476,0,1978,5496,621,27,527,0
2021-05-18,60,1445,466,0,2113,5566,507,42,519,0
2021-05-19,55,1513,488,0,2074,5495,578,45,544,0
2021-05-20,60,1431,505,0,2064,5277,491,40,502,1
2021-05-21,55,1325,492,0,1894,5323,597,27,551,1
2021-05-22,43,1228,338,0,1708,4976,540,28,442,0
2021-05-23,50,1326,428,0,1545,4956,530,45,482,0
2021-05-24,58,1543,459,0,1921,5301,560,36,547,0
2021-05-25,53,1507,496,0,2183,5191,597,39,555,0
2021-05-26,60,1441,475,0,2090,5173,498,49,550,0
2021-05-27,58,1308,472,0,2002,4926,584,46,495,2
2021-05-28,49,1396,434,0,1853,5180,566,33,496,0
2021-05-29,38,1360,341,0,1708,4586,502,30,440,0
2021-05-30,35,1515,401,0,1646,4672,559,40,477,0
2021-05-31,44,1413,413,0,1816,4739,611,45,445,0
2021-06-01,60,1698,478,0,2080,5091,540,32,570,0
2021-06-02,57,1701,472,0,2139,5100,524,61,559,0
2021-06-03,44,1691,469,0,2060,5041,541,54,534,0
2021-06-04,45,1630,421,0,1824,4816,483,43,467,0
2021-06-05,49,1341,357,0,1581,4585,482,15,459,0
2021-06-06,50,1490,395,0,1671,4839,562,45,471,0
2021-06-07,52,1567,461,0,2020,5031,673,39,681,1
2021-06-08,44,1633,481,0,2044,5029,594,44,550,0
2021-06-09,42,1617,475,0,1931,4684,559,71,507,0
2021-06-10,55,1534,485,0,1867,4662,521,47,423,0
2021-06-11,39,1512,421,0,1838,4349,475,37,479,0
2021-06-12,53,1540,382,0,1178,3999,441,26,376,0
2021-06-13,44,1369,368,0,1103,3744,438,40,418,0
2021-06-14,47,1516,432,0,1711,4526,515,39,486,0
2021-06-15,41,1497,533,0,1785,4714,487,34,512,0
