Date,"Acute exacerbation of chronic obstructive pulmonary disease","Paracetamol","1580 influenza pandemic","Spanish flu","2017–2018 United States flu season","2007 Bernard Matthews H5N1 outbreak","2006 H5N1 outbreak in India","2008 H5N1 outbreak in West Bengal","Antigen","1977 Russian flu"
2017-01-01,182,5164,0,144,0,14,6,3,565,0
2017-01-02,269,5892,0,170,0,9,8,4,861,0
2017-01-03,322,6710,0,179,0,15,17,7,1116,0
2017-01-04,347,6598,0,177,0,15,31,8,1165,0
2017-01-05,310,6387,0,168,0,25,23,5,1145,0
2017-01-06,311,5976,0,168,0,26,19,6,1134,0
2017-01-07,217,5452,0,152,0,14,18,11,927,0
2017-01-08,218,5959,0,210,0,16,23,3,1054,0
2017-01-09,300,6176,0,188,0,17,18,5,1251,0
2017-01-10,353,6253,0,182,0,19,22,3,1430,0
2017-01-11,332,6503,0,184,0,15,32,5,1346,0
2017-01-12,325,6559,0,198,0,14,21,4,1369,0
2017-01-13,300,5756,0,159,0,10,16,4,1284,0
2017-01-14,250,5335,0,155,0,14,10,6,937,0
2017-01-15,276,5616,0,164,0,11,13,6,1021,0
2017-01-16,319,6300,0,169,0,14,11,5,1300,0
2017-01-17,319,6625,0,167,0,21,17,7,1466,0
2017-01-18,348,6361,0,194,0,16,22,5,1439,0
2017-01-19,309,6216,0,160,0,9,22,8,1446,0
2017-01-20,266,5641,0,165,0,14,15,6,1217,0
2017-01-21,215,5209,0,118,0,10,7,2,1007,0
2017-01-22,249,5464,0,144,0,4,13,3,1114,0
2017-01-23,315,6271,0,188,0,10,12,4,1345,0
2017-01-24,350,6328,0,180,0,13,15,1,1441,0
2017-01-25,341,6200,0,166,0,12,17,3,1301,0
2017-01-26,348,6020,0,177,0,24,23,8,1359,0
2017-01-27,257,5583,0,167,0,16,9,6,1225,0
2017-01-28,206,5183,0,176,0,11,17,3,955,0
2017-01-29,235,5453,0,199,0,10,7,8,1093,0
2017-01-30,338,6512,0,156,0,12,17,3,1451,0
2017-01-31,325,6579,0,169,0,22,12,7,1448,0
2017-02-01,304,6587,0,170,0,10,15,2,1402,0
2017-02-02,334,6584,0,166,0,10,15,12,1414,0
2017-02-03,310,6047,0,172,0,9,11,3,1266,0
2017-02-04,240,5751,0,137,0,4,16,9,886,0
2017-02-05,253,5750,0,167,0,12,11,4,1149,0
2017-02-06,366,6178,0,180,0,15,19,9,1440,0
2017-02-07,417,6434,0,205,0,16,15,6,1630,0
2017-02-08,363,6452,0,210,0,15,18,7,1501,0
2017-02-09,378,6120,0,185,0,11,12,8,1590,0
2017-02-10,322,4344,0,163,0,13,9,5,1326,0
2017-02-11,296,5622,0,151,0,14,11,7,1036,0
2017-02-12,331,5471,0,191,0,24,15,7,1183,0
2017-02-13,336,4550,0,199,0,15,7,8,1469,0
2017-02-14,357,6039,0,176,0,18,10,1,1470,0
2017-02-15,393,6466,0,197,0,10,17,2,1524,0
2017-02-16,427,6635,0,171,0,19,16,8,1606,0
2017-02-17,362,5939,0,153,0,11,15,4,1343,0
2017-02-18,259,5478,0,183,0,8,10,7,1154,0
2017-02-19,289,5808,0,179,0,14,15,7,1223,0
2017-02-20,392,6211,0,200,0,14,11,5,1502,0
2017-02-21,358,6772,0,189,0,10,15,8,1604,0
2017-02-22,406,6821,0,165,0,16,13,4,1595,0
2017-02-23,368,6124,0,203,0,4,12,3,1509,0
2017-02-24,352,5740,0,175,0,7,6,10,1241,0
2017-02-25,219,5502,0,156,0,9,9,5,1056,0
2017-02-26,314,6519,0,133,0,9,12,12,1448,0
2017-02-27,350,6360,0,152,0,6,14,3,1637,0
2017-02-28,362,10392,0,171,0,20,16,10,1716,0
2017-03-01,367,6377,0,188,0,15,15,8,1617,0
2017-03-02,364,6479,0,158,0,14,14,3,1629,0
2017-03-03,362,5712,0,166,0,7,6,7,1348,0
2017-03-04,267,5061,0,163,0,22,23,13,1082,0
2017-03-05,306,5478,0,196,0,5,11,3,1207,0
2017-03-06,412,6326,0,255,0,18,19,8,1637,0
2017-03-07,378,6545,0,169,0,15,16,8,1616,0
2017-03-08,380,6299,0,160,0,12,18,9,1650,0
2017-03-09,410,6153,0,164,0,17,16,11,1510,0
2017-03-10,324,5684,0,179,0,12,16,15,1280,0
2017-03-11,270,5002,0,128,0,7,9,4,987,0
2017-03-12,263,5319,0,161,0,8,12,5,1113,0
2017-03-13,371,5996,0,171,0,10,6,5,1457,0
2017-03-14,387,6042,0,176,0,12,10,4,1332,0
2017-03-15,353,6185,0,149,0,4,8,3,1510,0
2017-03-16,363,6422,0,176,0,11,13,12,1455,0
2017-03-17,324,5485,0,145,0,10,5,4,1202,0
2017-03-18,288,4950,0,152,0,8,14,4,1045,0
2017-03-19,301,5184,0,158,0,8,20,8,1164,0
2017-03-20,397,6251,0,185,0,16,15,4,1784,0
2017-03-21,391,6271,0,165,0,9,8,7,1788,0
2017-03-22,442,6255,0,227,0,20,21,16,1661,0
2017-03-23,431,5827,0,179,0,12,20,12,1631,0
2017-03-24,301,5370,0,180,0,10,9,1,1264,0
2017-03-25,242,4931,0,123,0,4,6,5,1025,0
2017-03-26,258,5111,0,176,0,6,6,7,1203,0
2017-03-27,373,5949,0,185,0,10,9,7,1575,0
2017-03-28,402,5942,0,181,0,12,5,3,1696,0
2017-03-29,427,5896,0,182,0,18,18,12,1577,0
2017-03-30,441,5922,0,175,0,12,14,6,1552,0
2017-03-31,349,5123,0,149,0,9,12,6,1348,0
2017-04-01,277,4545,0,127,0,3,9,4,999,0
2017-04-02,289,5013,0,192,0,11,13,3,1108,0
2017-04-03,327,5605,0,224,0,9,6,6,1569,0
2017-04-04,368,5994,0,205,0,7,10,5,1501,0
2017-04-05,336,5632,0,181,0,8,7,3,1552,0
2017-04-06,288,5467,0,270,0,12,7,10,1462,0
2017-04-07,337,4871,0,177,0,21,8,9,1283,0
2017-04-08,221,4496,0,211,0,6,6,6,900,0
2017-04-09,260,4872,0,200,0,6,8,1,1034,0
2017-04-10,367,4643,0,203,0,7,8,4,1465,0
2017-04-11,329,4569,0,230,0,6,20,3,1384,0
2017-04-12,363,3455,0,203,0,14,18,8,1375,0
2017-04-13,289,4904,0,200,0,12,6,5,1228,0
2017-04-14,262,4472,0,159,0,27,8,8,923,0
2017-04-15,245,4293,0,153,0,6,11,3,924,0
2017-04-16,237,4753,0,217,0,9,14,5,980,0
2017-04-17,337,5295,0,169,0,7,15,6,1369,0
2017-04-18,384,5795,0,174,0,11,14,4,1613,0
2017-04-19,431,5587,0,191,0,13,14,11,1683,0
2017-04-20,354,5635,0,202,0,10,13,5,1457,0
2017-04-21,341,5062,0,201,0,15,12,2,1346,0
2017-04-22,237,4760,0,137,0,4,9,1,1023,0
2017-04-23,267,4888,0,153,0,7,7,8,1190,0
2017-04-24,346,5423,0,181,0,10,8,9,1590,0
2017-04-25,434,5627,0,151,0,10,11,4,1584,0
2017-04-26,363,5483,0,167,0,10,10,8,1629,0
2017-04-27,327,5328,0,149,0,9,11,3,1519,0
2017-04-28,297,4801,0,141,0,7,7,1,1270,0
2017-04-29,274,4656,0,172,0,8,8,3,995,0
2017-04-30,268,4540,0,139,0,6,11,2,1046,0
2017-05-01,310,5129,0,193,0,11,11,5,1375,0
2017-05-02,401,5428,0,158,0,11,10,7,1533,0
2017-05-03,389,5339,0,176,0,18,13,4,1582,0
2017-05-04,352,5259,0,190,0,10,6,1,1488,0
2017-05-05,323,4840,0,163,0,15,14,13,1260,0
2017-05-06,273,4441,0,145,0,7,11,6,998,0
2017-05-07,288,4715,0,136,0,5,5,3,1242,0
2017-05-08,366,6075,0,172,0,9,4,2,1458,0
2017-05-09,360,5457,0,158,0,7,9,4,1522,0
2017-05-10,405,5986,0,168,0,8,9,5,1459,0
2017-05-11,359,5410,0,197,0,8,2,4,1475,0
2017-05-12,296,5038,0,212,0,10,10,5,1252,0
2017-05-13,277,4693,0,169,0,6,2,5,942,0
2017-05-14,263,4742,0,182,0,9,8,1,1007,0
2017-05-15,349,5506,0,162,0,7,5,1,1353,0
2017-05-16,416,5533,0,188,0,14,9,6,1425,0
2017-05-17,377,5499,0,168,0,8,8,5,1425,0
2017-05-18,351,5168,0,173,0,13,13,8,1424,0
2017-05-19,329,4990,0,147,0,4,4,2,1115,0
2017-05-20,238,4796,0,153,0,10,9,7,924,0
2017-05-21,271,5022,0,151,0,6,6,2,935,0
2017-05-22,359,5448,0,160,0,6,6,3,1369,0
2017-05-23,339,5199,0,167,0,18,10,4,1361,0
2017-05-24,357,5322,0,172,0,8,6,7,1389,0
2017-05-25,385,5146,0,160,0,13,7,2,1246,0
2017-05-26,289,4735,0,157,0,4,14,2,1064,0
2017-05-27,222,4397,0,131,0,5,5,4,780,0
2017-05-28,254,4464,0,177,0,7,7,4,821,0
2017-05-29,297,5053,0,159,0,7,5,1,1016,0
2017-05-30,340,5203,0,163,0,7,7,4,1236,0
2017-05-31,364,5152,0,155,0,8,7,5,1205,0
2017-06-01,338,4796,0,128,0,12,8,2,1154,0
2017-06-02,264,4721,0,293,0,6,6,4,1053,0
2017-06-03,231,4309,0,147,0,3,3,1,849,0
2017-06-04,240,4943,0,154,0,1,6,3,880,0
2017-06-05,344,5473,0,151,0,11,7,7,1141,0
2017-06-06,324,5293,0,146,0,15,14,6,1242,0
2017-06-07,371,5320,0,172,0,8,7,6,1279,0
2017-06-08,279,5126,0,167,0,13,5,6,1199,0
2017-06-09,270,4956,0,151,0,23,12,16,1061,0
2017-06-10,257,4549,0,97,0,9,3,8,868,0
2017-06-11,276,4509,0,160,0,12,9,9,949,0
2017-06-12,346,5064,0,157,0,8,5,11,1174,0
2017-06-13,313,5265,0,153,0,12,12,8,1159,0
2017-06-14,352,5156,0,143,0,9,11,3,1212,0
