Semaine,flu: (Californie),polypnea: (Californie),conjonctivis: (Californie),cyanosis: (Californie),h1n1: (Californie)
2021-09-26,20,0,0,< 1,< 1
2021-10-03,21,0,0,< 1,< 1
2021-10-10,20,0,0,< 1,< 1
2021-10-17,19,0,0,< 1,< 1
2021-10-24,17,0,0,< 1,< 1
2021-10-31,17,0,0,< 1,< 1
2021-11-07,13,0,0,< 1,< 1
2021-11-14,14,0,0,< 1,< 1
2021-11-21,11,0,0,< 1,< 1
2021-11-28,13,0,0,< 1,< 1
2021-12-05,11,0,0,< 1,< 1
2021-12-12,11,0,0,< 1,< 1
2021-12-19,14,0,0,< 1,< 1
2021-12-26,21,0,0,< 1,< 1
2022-01-02,25,0,0,< 1,< 1
2022-01-09,16,0,0,< 1,< 1
2022-01-16,11,0,0,< 1,< 1
2022-01-23,8,0,0,< 1,< 1
2022-01-30,8,0,0,< 1,< 1
2022-02-06,7,0,0,< 1,< 1
2022-02-13,7,0,0,< 1,< 1
2022-02-20,6,0,0,< 1,< 1
2022-02-27,6,0,0,< 1,< 1
2022-03-06,7,0,0,< 1,< 1
2022-03-13,6,0,0,< 1,< 1
2022-03-20,7,0,0,< 1,< 1
2022-03-27,6,0,0,< 1,< 1
2022-04-03,7,0,0,< 1,< 1
2022-04-10,7,0,0,< 1,< 1
2022-04-17,8,0,0,< 1,< 1
2022-04-24,8,0,0,< 1,< 1
2022-05-01,7,0,0,< 1,< 1
2022-05-08,8,0,0,< 1,< 1
2022-05-15,9,0,0,< 1,< 1
2022-05-22,9,0,0,< 1,< 1
2022-05-29,8,0,0,< 1,< 1
2022-06-05,7,0,0,< 1,< 1
2022-06-12,6,0,0,< 1,< 1
2022-06-19,6,0,0,< 1,< 1
2022-06-26,6,0,0,< 1,< 1
2022-07-03,7,0,0,< 1,< 1
2022-07-10,6,0,0,< 1,< 1
2022-07-17,6,0,0,< 1,< 1
2022-07-24,5,< 1,0,< 1,0
2022-07-31,5,0,0,< 1,< 1
2022-08-07,5,0,0,< 1,< 1
2022-08-14,5,0,0,< 1,0
2022-08-21,8,0,0,< 1,0
2022-08-28,8,0,0,< 1,< 1
2022-09-04,9,0,0,< 1,< 1
2022-09-11,11,0,0,< 1,0
2022-09-18,14,0,0,< 1,< 1
2022-09-25,14,0,0,< 1,< 1
2022-10-02,17,0,0,< 1,< 1
2022-10-09,20,0,0,< 1,0
2022-10-16,21,0,0,< 1,< 1
2022-10-23,22,0,0,< 1,< 1
2022-10-30,23,0,0,< 1,< 1
2022-11-06,23,0,0,< 1,< 1
2022-11-13,27,0,0,< 1,< 1
2022-11-20,27,0,0,< 1,< 1
