Semaine,flu: (Californie),shaking shills,myalgia,irratibility,diarrhea,sinusitus,stomach flu,fatigue,feeling cold,difficulty breathing,sneezing,dry cough,difficulty sleeping,vomiting,abdominal pain,influenza,sore throat,dyspnea,rhinorrhea,throwing up,polypnea,conjonctivis,cyanosis,h1n1,hygiene,social distancing,drug use,runny nose,chest pain,arthralgia,fainting,pass out,bronchitis,pneumonia,flu symptoms,headache,fever,migraine,congestion,sickness
2015-02-01,0.14838709677419354,0.0,0.006451612903225806,0.0,0.06451612903225806,0.0,0.019354838709677417,0.025806451612903222,0.006451612903225806,0.006451612903225806,0.012903225806451611,0.006451612903225806,0.0,0.025806451612903222,0.019354838709677417,0.019354838709677417,0.058064516129032254,0.006451612903225806,0.006451612903225806,0.019354838709677417,0.0,0.0,0.006451612903225806,0.006451612903225806,0.012903225806451611,0.0,0.012903225806451611,0.012903225806451611,0.025806451612903222,0.006451612903225806,0.006451612903225806,0.006451612903225806,0.038709677419354833,0.06451612903225806,0.03225806451612903,0.07096774193548387,1.0869565217391304,0.17391304347826086,0.17391304347826086,0.21739130434782608
2015-02-08,0.13043478260869568,0.0,0.007246376811594204,0.0,0.07246376811594205,0.0,0.014492753623188408,0.03623188405797102,0.007246376811594204,0.007246376811594204,0.014492753623188408,0.007246376811594204,0.0,0.028985507246376815,0.02173913043478261,0.014492753623188408,0.06521739130434784,0.007246376811594204,0.007246376811594204,0.02173913043478261,0.0,0.0,0.007246376811594204,0.007246376811594204,0.014492753623188408,0.0,0.007246376811594204,0.014492753623188408,0.028985507246376815,0.0,0.007246376811594204,0.007246376811594204,0.03623188405797102,0.06521739130434784,0.02173913043478261,0.07246376811594205,1.1666666666666667,0.2777777777777778,0.2222222222222222,0.2222222222222222
2015-02-15,0.12676056338028172,0.007042253521126762,0.007042253521126762,0.0,0.07746478873239439,0.0,0.021126760563380285,0.03521126760563381,0.007042253521126762,0.0,0.014084507042253523,0.007042253521126762,0.0,0.028169014084507046,0.021126760563380285,0.014084507042253523,0.06338028169014086,0.007042253521126762,0.0,0.021126760563380285,0.0,0.0,0.007042253521126762,0.007042253521126762,0.014084507042253523,0.0,0.014084507042253523,0.014084507042253523,0.028169014084507046,0.007042253521126762,0.007042253521126762,0.007042253521126762,0.03521126760563381,0.06338028169014086,0.028169014084507046,0.07042253521126762,1.2222222222222223,0.2222222222222222,0.2222222222222222,0.2222222222222222
2015-02-22,0.1111111111111111,0.0,0.007407407407407408,0.0,0.08148148148148147,0.0,0.022222222222222223,0.037037037037037035,0.007407407407407408,0.007407407407407408,0.014814814814814815,0.007407407407407408,0.0,0.02962962962962963,0.022222222222222223,0.014814814814814815,0.06666666666666667,0.007407407407407408,0.0,0.022222222222222223,0.0,0.0,0.007407407407407408,0.007407407407407408,0.014814814814814815,0.0,0.007407407407407408,0.014814814814814815,0.02962962962962963,0.007407407407407408,0.007407407407407408,0.007407407407407408,0.037037037037037035,0.05925925925925926,0.022222222222222223,0.07407407407407407,1.4,0.26666666666666666,0.2,0.3333333333333333
2015-03-01,0.10869565217391303,0.0,0.007246376811594202,0.0,0.08695652173913043,0.0,0.021739130434782608,0.03623188405797101,0.007246376811594202,0.007246376811594202,0.014492753623188404,0.007246376811594202,0.0,0.02898550724637681,0.021739130434782608,0.014492753623188404,0.06521739130434781,0.007246376811594202,0.0,0.021739130434782608,0.0,0.0,0.007246376811594202,0.007246376811594202,0.014492753623188404,0.0,0.007246376811594202,0.014492753623188404,0.02898550724637681,0.007246376811594202,0.007246376811594202,0.007246376811594202,0.02898550724637681,0.05797101449275362,0.021739130434782608,0.07246376811594202,1.6,0.26666666666666666,0.2,0.3333333333333333
2015-03-08,0.10071942446043165,0.0,0.007194244604316546,0.0,0.07913669064748201,0.0,0.021582733812949638,0.03597122302158273,0.007194244604316546,0.007194244604316546,0.014388489208633093,0.007194244604316546,0.0,0.028776978417266185,0.021582733812949638,0.014388489208633093,0.07194244604316546,0.007194244604316546,0.0,0.021582733812949638,0.0,0.0,0.007194244604316546,0.007194244604316546,0.014388489208633093,0.0,0.007194244604316546,0.014388489208633093,0.028776978417266185,0.007194244604316546,0.007194244604316546,0.007194244604316546,0.03597122302158273,0.05755395683453237,0.014388489208633093,0.07194244604316546,1.8571428571428572,0.2857142857142857,0.21428571428571427,0.35714285714285715
2015-03-15,0.09558823529411763,0.0,0.007352941176470587,0.0,0.08823529411764705,0.0,0.022058823529411763,0.036764705882352935,0.0,0.007352941176470587,0.014705882352941175,0.007352941176470587,0.0,0.02941176470588235,0.022058823529411763,0.014705882352941175,0.0588235294117647,0.007352941176470587,0.0,0.022058823529411763,0.0,0.0,0.007352941176470587,0.007352941176470587,0.014705882352941175,0.0,0.014705882352941175,0.014705882352941175,0.02941176470588235,0.007352941176470587,0.007352941176470587,0.007352941176470587,0.036764705882352935,0.0588235294117647,0.014705882352941175,0.06617647058823528,1.9230769230769231,0.3076923076923077,0.3076923076923077,0.38461538461538464
2015-03-22,0.08088235294117649,0.0,0.00735294117647059,0.0,0.09558823529411767,0.0,0.022058823529411766,0.03676470588235295,0.00735294117647059,0.00735294117647059,0.01470588235294118,0.00735294117647059,0.0,0.03676470588235295,0.022058823529411766,0.00735294117647059,0.05882352941176472,0.00735294117647059,0.0,0.022058823529411766,0.0,0.0,0.00735294117647059,0.00735294117647059,0.01470588235294118,0.0,0.01470588235294118,0.01470588235294118,0.02941176470588236,0.00735294117647059,0.00735294117647059,0.00735294117647059,0.03676470588235295,0.05882352941176472,0.01470588235294118,0.0735294117647059,2.272727272727273,0.36363636363636365,0.2727272727272727,0.45454545454545453
2015-03-29,0.08527131782945739,0.0,0.007751937984496127,0.0,0.10077519379844965,0.0,0.02325581395348838,0.038759689922480633,0.007751937984496127,0.007751937984496127,0.015503875968992255,0.007751937984496127,0.0,0.03100775193798451,0.02325581395348838,0.007751937984496127,0.06201550387596902,0.007751937984496127,0.0,0.03100775193798451,0.0,0.0,0.0,0.007751937984496127,0.015503875968992255,0.0,0.007751937984496127,0.015503875968992255,0.03100775193798451,0.007751937984496127,0.007751937984496127,0.007751937984496127,0.03100775193798451,0.05426356589147289,0.015503875968992255,0.07751937984496127,2.090909090909091,0.36363636363636365,0.2727272727272727,0.36363636363636365
2015-04-05,0.0984848484848485,0.0,0.007575757575757577,0.0,0.0984848484848485,0.0,0.030303030303030307,0.03787878787878788,0.007575757575757577,0.007575757575757577,0.007575757575757577,0.007575757575757577,0.0,0.03787878787878788,0.02272727272727273,0.015151515151515154,0.060606060606060615,0.007575757575757577,0.0,0.02272727272727273,0.0,0.0,0.007575757575757577,0.007575757575757577,0.015151515151515154,0.0,0.015151515151515154,0.007575757575757577,0.030303030303030307,0.007575757575757577,0.007575757575757577,0.007575757575757577,0.030303030303030307,0.05303030303030303,0.015151515151515154,0.07575757575757576,1.6153846153846154,0.3076923076923077,0.23076923076923078,0.38461538461538464
2015-04-12,0.11023622047244093,0.0,0.007874015748031494,0.0,0.10236220472440943,0.0,0.023622047244094484,0.03937007874015747,0.007874015748031494,0.007874015748031494,0.01574803149606299,0.007874015748031494,0.0,0.03937007874015747,0.023622047244094484,0.01574803149606299,0.055118110236220465,0.007874015748031494,0.0,0.03149606299212598,0.0,0.0,0.007874015748031494,0.0,0.01574803149606299,0.0,0.01574803149606299,0.007874015748031494,0.03149606299212598,0.0,0.007874015748031494,0.007874015748031494,0.03149606299212598,0.055118110236220465,0.01574803149606299,0.07086614173228346,1.3571428571428572,0.2857142857142857,0.14285714285714285,0.35714285714285715
2015-04-19,0.09774436090225565,0.0,0.007518796992481204,0.0,0.09774436090225565,0.0,0.030075187969924817,0.03759398496240602,0.007518796992481204,0.007518796992481204,0.015037593984962409,0.007518796992481204,0.0,0.03759398496240602,0.02255639097744361,0.007518796992481204,0.060150375939849635,0.007518796992481204,0.007518796992481204,0.030075187969924817,0.0,0.0,0.007518796992481204,0.007518796992481204,0.015037593984962409,0.0,0.015037593984962409,0.007518796992481204,0.030075187969924817,0.0,0.007518796992481204,0.007518796992481204,0.030075187969924817,0.04511278195488722,0.015037593984962409,0.07518796992481204,1.7692307692307692,0.3076923076923077,0.23076923076923078,0.3076923076923077
2015-04-26,0.08800000000000004,0.0,0.008000000000000004,0.0,0.09600000000000003,0.0,0.024000000000000007,0.040000000000000015,0.008000000000000004,0.008000000000000004,0.016000000000000007,0.008000000000000004,0.0,0.032000000000000015,0.024000000000000007,0.008000000000000004,0.06400000000000003,0.008000000000000004,0.0,0.024000000000000007,0.0,0.0,0.0,0.008000000000000004,0.016000000000000007,0.0,0.016000000000000007,0.016000000000000007,0.032000000000000015,0.008000000000000004,0.008000000000000004,0.008000000000000004,0.032000000000000015,0.048000000000000015,0.016000000000000007,0.08000000000000003,1.9090909090909092,0.36363636363636365,0.2727272727272727,0.36363636363636365
2015-05-03,0.08333333333333333,0.0,0.008333333333333333,0.0,0.09999999999999999,0.0,0.024999999999999998,0.041666666666666664,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.0,0.03333333333333333,0.024999999999999998,0.008333333333333333,0.05833333333333333,0.008333333333333333,0.0,0.024999999999999998,0.0,0.0,0.008333333333333333,0.008333333333333333,0.016666666666666666,0.0,0.016666666666666666,0.008333333333333333,0.03333333333333333,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.03333333333333333,0.049999999999999996,0.016666666666666666,0.075,2.0,0.4,0.3,0.4
2015-05-10,0.07563025210084036,0.0,0.008403361344537818,0.0,0.10924369747899162,0.0,0.025210084033613453,0.04201680672268909,0.008403361344537818,0.008403361344537818,0.016806722689075636,0.008403361344537818,0.0,0.03361344537815127,0.025210084033613453,0.008403361344537818,0.06722689075630255,0.008403361344537818,0.0,0.025210084033613453,0.0,0.0,0.008403361344537818,0.0,0.016806722689075636,0.0,0.016806722689075636,0.008403361344537818,0.03361344537815127,0.0,0.008403361344537818,0.008403361344537818,0.03361344537815127,0.050420168067226906,0.008403361344537818,0.08403361344537819,2.111111111111111,0.4444444444444444,0.2222222222222222,0.5555555555555556
2015-05-17,0.08403361344537816,0.0,0.008403361344537816,0.0,0.10084033613445378,0.0,0.016806722689075633,0.04201680672268908,0.008403361344537816,0.008403361344537816,0.016806722689075633,0.008403361344537816,0.0,0.033613445378151266,0.025210084033613446,0.008403361344537816,0.06722689075630253,0.008403361344537816,0.0,0.033613445378151266,0.0,0.0,0.008403361344537816,0.0,0.016806722689075633,0.0,0.008403361344537816,0.008403361344537816,0.033613445378151266,0.0,0.008403361344537816,0.008403361344537816,0.033613445378151266,0.05042016806722689,0.016806722689075633,0.08403361344537816,1.9,0.4,0.2,0.5
2015-05-24,0.08547008547008549,0.0,0.00854700854700855,0.0,0.10256410256410259,0.0,0.0170940170940171,0.0341880341880342,0.00854700854700855,0.00854700854700855,0.0170940170940171,0.00854700854700855,0.0,0.0341880341880342,0.025641025641025647,0.00854700854700855,0.0683760683760684,0.00854700854700855,0.00854700854700855,0.025641025641025647,0.0,0.0,0.00854700854700855,0.0,0.0170940170940171,0.0,0.00854700854700855,0.00854700854700855,0.0341880341880342,0.0,0.00854700854700855,0.00854700854700855,0.025641025641025647,0.04273504273504274,0.0170940170940171,0.08547008547008549,2.0,0.4,0.2,0.5
2015-05-31,0.07758620689655174,0.0,0.008620689655172415,0.0,0.10344827586206899,0.0,0.01724137931034483,0.04310344827586208,0.008620689655172415,0.0,0.01724137931034483,0.008620689655172415,0.0,0.03448275862068966,0.025862068965517248,0.008620689655172415,0.06896551724137932,0.008620689655172415,0.0,0.025862068965517248,0.0,0.0,0.008620689655172415,0.008620689655172415,0.01724137931034483,0.0,0.008620689655172415,0.008620689655172415,0.03448275862068966,0.008620689655172415,0.008620689655172415,0.008620689655172415,0.025862068965517248,0.04310344827586208,0.008620689655172415,0.09482758620689659,2.111111111111111,0.4444444444444444,0.2222222222222222,0.5555555555555556
2015-06-07,0.07339449541284404,0.0,0.009174311926605505,0.0,0.10091743119266056,0.0,0.01834862385321101,0.045871559633027525,0.009174311926605505,0.009174311926605505,0.009174311926605505,0.009174311926605505,0.0,0.027522935779816515,0.027522935779816515,0.009174311926605505,0.06422018348623854,0.009174311926605505,0.0,0.027522935779816515,0.0,0.0,0.0,0.0,0.01834862385321101,0.0,0.009174311926605505,0.009174311926605505,0.03669724770642202,0.009174311926605505,0.009174311926605505,0.009174311926605505,0.027522935779816515,0.045871559633027525,0.009174311926605505,0.09174311926605505,2.375,0.5,0.25,0.625
2015-06-14,0.05660377358490567,0.0,0.009433962264150945,0.0,0.11320754716981134,0.0,0.009433962264150945,0.03773584905660378,0.009433962264150945,0.009433962264150945,0.009433962264150945,0.009433962264150945,0.0,0.028301886792452834,0.028301886792452834,0.009433962264150945,0.06603773584905662,0.009433962264150945,0.0,0.028301886792452834,0.0,0.0,0.009433962264150945,0.009433962264150945,0.01886792452830189,0.0,0.009433962264150945,0.009433962264150945,0.03773584905660378,0.009433962264150945,0.009433962264150945,0.009433962264150945,0.028301886792452834,0.04716981132075473,0.009433962264150945,0.09433962264150945,3.0,0.6666666666666666,0.3333333333333333,0.6666666666666666
2015-06-21,0.05454545454545455,0.0,0.00909090909090909,0.0,0.1090909090909091,0.0,0.01818181818181818,0.04545454545454546,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.0,0.03636363636363636,0.027272727272727275,0.00909090909090909,0.06363636363636364,0.00909090909090909,0.0,0.027272727272727275,0.0,0.0,0.00909090909090909,0.0,0.01818181818181818,0.0,0.00909090909090909,0.00909090909090909,0.03636363636363636,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.01818181818181818,0.04545454545454546,0.00909090909090909,0.1,3.1666666666666665,0.6666666666666666,0.3333333333333333,0.8333333333333334
2015-06-28,0.05825242718446603,0.0,0.00970873786407767,0.0,0.11650485436893206,0.0,0.01941747572815534,0.048543689320388356,0.00970873786407767,0.00970873786407767,0.00970873786407767,0.00970873786407767,0.0,0.029126213592233014,0.029126213592233014,0.00970873786407767,0.05825242718446603,0.00970873786407767,0.0,0.029126213592233014,0.0,0.0,0.0,0.00970873786407767,0.01941747572815534,0.0,0.00970873786407767,0.00970873786407767,0.03883495145631068,0.0,0.00970873786407767,0.00970873786407767,0.01941747572815534,0.03883495145631068,0.00970873786407767,0.08737864077669905,3.0,0.6666666666666666,0.3333333333333333,0.8333333333333334
2015-07-05,0.057692307692307696,0.0,0.009615384615384616,0.0,0.11538461538461539,0.0,0.019230769230769232,0.04807692307692308,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.0,0.028846153846153848,0.028846153846153848,0.009615384615384616,0.057692307692307696,0.009615384615384616,0.0,0.028846153846153848,0.0,0.0,0.0,0.009615384615384616,0.019230769230769232,0.0,0.009615384615384616,0.009615384615384616,0.038461538461538464,0.0,0.009615384615384616,0.009615384615384616,0.028846153846153848,0.04807692307692308,0.009615384615384616,0.08653846153846155,2.8333333333333335,0.6666666666666666,0.3333333333333333,0.8333333333333334
2015-07-12,0.05000000000000001,0.0,0.010000000000000002,0.0,0.12000000000000002,0.0,0.010000000000000002,0.05000000000000001,0.010000000000000002,0.0,0.010000000000000002,0.010000000000000002,0.0,0.04000000000000001,0.030000000000000006,0.010000000000000002,0.06000000000000001,0.010000000000000002,0.0,0.030000000000000006,0.0,0.0,0.0,0.0,0.020000000000000004,0.0,0.010000000000000002,0.010000000000000002,0.04000000000000001,0.0,0.010000000000000002,0.010000000000000002,0.020000000000000004,0.04000000000000001,0.010000000000000002,0.10000000000000002,3.6,0.8,0.2,1.0
2015-07-19,0.05940594059405941,0.0,0.009900990099009901,0.0,0.11881188118811882,0.0,0.009900990099009901,0.04950495049504951,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.0,0.029702970297029705,0.029702970297029705,0.009900990099009901,0.04950495049504951,0.009900990099009901,0.0,0.029702970297029705,0.0,0.0,0.0,0.0,0.019801980198019802,0.0,0.009900990099009901,0.009900990099009901,0.039603960396039604,0.0,0.009900990099009901,0.009900990099009901,0.019801980198019802,0.04950495049504951,0.009900990099009901,0.10891089108910891,2.8333333333333335,0.6666666666666666,0.16666666666666666,0.8333333333333334
2015-07-26,0.04761904761904764,0.0,0.009523809523809528,0.0,0.11428571428571432,0.0,0.009523809523809528,0.03809523809523811,0.009523809523809528,0.009523809523809528,0.019047619047619056,0.009523809523809528,0.0,0.02857142857142858,0.02857142857142858,0.009523809523809528,0.04761904761904764,0.009523809523809528,0.0,0.02857142857142858,0.0,0.0,0.009523809523809528,0.009523809523809528,0.019047619047619056,0.0,0.009523809523809528,0.009523809523809528,0.03809523809523811,0.009523809523809528,0.009523809523809528,0.009523809523809528,0.019047619047619056,0.03809523809523811,0.009523809523809528,0.09523809523809527,3.6,1.0,0.4,1.2
2015-08-02,0.05660377358490568,0.0,0.009433962264150947,0.0,0.11320754716981137,0.0,0.018867924528301893,0.047169811320754734,0.009433962264150947,0.009433962264150947,0.018867924528301893,0.009433962264150947,0.0,0.02830188679245284,0.02830188679245284,0.009433962264150947,0.047169811320754734,0.009433962264150947,0.0,0.02830188679245284,0.0,0.0,0.009433962264150947,0.0,0.018867924528301893,0.0,0.009433962264150947,0.009433962264150947,0.037735849056603786,0.009433962264150947,0.009433962264150947,0.009433962264150947,0.018867924528301893,0.037735849056603786,0.009433962264150947,0.09433962264150947,3.1666666666666665,0.6666666666666666,0.3333333333333333,0.8333333333333334
2015-08-09,0.05825242718446603,0.0,0.00970873786407767,0.0,0.10679611650485438,0.0,0.01941747572815534,0.03883495145631068,0.00970873786407767,0.00970873786407767,0.00970873786407767,0.00970873786407767,0.0,0.029126213592233014,0.029126213592233014,0.00970873786407767,0.048543689320388356,0.00970873786407767,0.0,0.029126213592233014,0.0,0.0,0.00970873786407767,0.0,0.01941747572815534,0.0,0.00970873786407767,0.00970873786407767,0.03883495145631068,0.00970873786407767,0.00970873786407767,0.00970873786407767,0.01941747572815534,0.03883495145631068,0.00970873786407767,0.09708737864077671,3.0,0.8333333333333334,0.3333333333333333,0.8333333333333334
2015-08-16,0.05825242718446604,0.0,0.009708737864077673,0.0,0.11650485436893208,0.0,0.009708737864077673,0.03883495145631069,0.009708737864077673,0.009708737864077673,0.019417475728155345,0.009708737864077673,0.0,0.02912621359223302,0.02912621359223302,0.009708737864077673,0.05825242718446604,0.009708737864077673,0.0,0.02912621359223302,0.0,0.0,0.0,0.0,0.019417475728155345,0.0,0.009708737864077673,0.009708737864077673,0.03883495145631069,0.009708737864077673,0.009708737864077673,0.009708737864077673,0.019417475728155345,0.03883495145631069,0.009708737864077673,0.09708737864077674,3.0,0.6666666666666666,0.3333333333333333,0.8333333333333334
2015-08-23,0.05882352941176473,0.0,0.009803921568627454,0.0,0.10784313725490201,0.0,0.009803921568627454,0.03921568627450982,0.009803921568627454,0.009803921568627454,0.01960784313725491,0.009803921568627454,0.0,0.029411764705882366,0.029411764705882366,0.009803921568627454,0.05882352941176473,0.009803921568627454,0.0,0.029411764705882366,0.0,0.0,0.009803921568627454,0.0,0.01960784313725491,0.0,0.009803921568627454,0.009803921568627454,0.03921568627450982,0.009803921568627454,0.009803921568627454,0.009803921568627454,0.01960784313725491,0.03921568627450982,0.009803921568627454,0.09803921568627455,2.8333333333333335,0.6666666666666666,0.3333333333333333,0.8333333333333334
2015-08-30,0.08333333333333336,0.0,0.009259259259259262,0.0,0.10185185185185189,0.0,0.009259259259259262,0.03703703703703705,0.009259259259259262,0.009259259259259262,0.018518518518518524,0.009259259259259262,0.0,0.027777777777777783,0.027777777777777783,0.009259259259259262,0.055555555555555566,0.009259259259259262,0.0,0.027777777777777783,0.0,0.0,0.009259259259259262,0.0,0.018518518518518524,0.0,0.009259259259259262,0.018518518518518524,0.03703703703703705,0.009259259259259262,0.009259259259259262,0.009259259259259262,0.018518518518518524,0.046296296296296315,0.009259259259259262,0.09259259259259263,2.0,0.4444444444444444,0.2222222222222222,0.5555555555555556
2015-09-06,0.0892857142857143,0.0,0.008928571428571432,0.0,0.09821428571428574,0.0,0.008928571428571432,0.035714285714285726,0.008928571428571432,0.008928571428571432,0.008928571428571432,0.008928571428571432,0.0,0.02678571428571429,0.02678571428571429,0.008928571428571432,0.06250000000000001,0.008928571428571432,0.008928571428571432,0.02678571428571429,0.0,0.0,0.008928571428571432,0.008928571428571432,0.017857142857142863,0.0,0.008928571428571432,0.017857142857142863,0.035714285714285726,0.008928571428571432,0.008928571428571432,0.008928571428571432,0.017857142857142863,0.04464285714285715,0.008928571428571432,0.08035714285714288,2.0,0.4,0.2,0.5
