Catégorie : Toutes catégories

Semaine,flu: (Californie),feeling cold: (Californie),difficulty breathing: (Californie),sneezing: (Californie),dry cough: (Californie)
2018-11-18,20,< 1,< 1,2,1
2018-11-25,21,1,< 1,2,1
2018-12-02,20,< 1,< 1,2,1
2018-12-09,20,1,< 1,2,1
2018-12-16,23,< 1,< 1,2,1
2018-12-23,26,1,< 1,2,2
2018-12-30,31,1,< 1,2,2
2019-01-06,33,< 1,< 1,2,2
2019-01-13,23,< 1,< 1,2,1
2019-01-20,22,1,< 1,2,2
2019-01-27,24,< 1,< 1,2,2
2019-02-03,22,1,< 1,2,1
2019-02-10,21,1,< 1,2,1
2019-02-17,22,1,< 1,2,2
2019-02-24,23,1,< 1,2,2
2019-03-03,22,< 1,< 1,2,2
2019-03-10,20,1,< 1,2,1
2019-03-17,21,< 1,< 1,2,2
2019-03-24,18,< 1,< 1,2,1
2019-03-31,16,< 1,< 1,2,1
2019-04-07,14,1,< 1,2,1
2019-04-14,13,< 1,< 1,2,1
2019-04-21,12,< 1,< 1,2,1
2019-04-28,11,< 1,< 1,2,1
2019-05-05,11,< 1,< 1,2,1
2019-05-12,10,< 1,< 1,2,1
2019-05-19,11,< 1,< 1,2,1
2019-05-26,10,< 1,< 1,2,1
2019-06-02,10,< 1,< 1,2,1
2019-06-09,8,< 1,< 1,2,1
2019-06-16,8,< 1,< 1,2,1
2019-06-23,8,< 1,< 1,2,1
2019-06-30,7,< 1,< 1,2,1
2019-07-07,8,< 1,< 1,2,1
2019-07-14,8,< 1,< 1,2,1
2019-07-21,7,< 1,< 1,2,1
2019-07-28,7,< 1,< 1,1,1
2019-08-04,8,< 1,< 1,2,1
2019-08-11,8,< 1,< 1,2,1
2019-08-18,10,< 1,< 1,2,1
2019-08-25,11,< 1,< 1,2,1
2019-09-01,13,< 1,< 1,2,1
2019-09-08,17,< 1,< 1,2,1
2019-09-15,22,< 1,< 1,2,1
2019-09-22,31,< 1,< 1,2,1
2019-09-29,38,1,< 1,2,1
2019-10-06,35,< 1,< 1,2,1
2019-10-13,35,< 1,< 1,2,1
2019-10-20,32,< 1,< 1,2,1
2019-10-27,27,1,< 1,2,1
2019-11-03,29,< 1,< 1,2,1
2019-11-10,27,< 1,< 1,2,1
2019-11-17,27,< 1,< 1,2,1
